,Sno,date,Negative,Positive
0,1,2020-01-01,8,11
1,2,2020-01-02,15,13
2,3,2020-01-03,24,18
3,4,2020-01-04,25,19
4,5,2020-01-05,28,17
5,6,2020-01-06,16,15
6,7,2020-01-07,15,16
7,8,2020-01-08,15,14
8,9,2020-01-09,16,13
9,10,2020-01-10,13,22
10,11,2020-01-11,16,16
11,12,2020-01-12,19,10
12,13,2020-01-13,14,8
13,14,2020-01-14,21,18
14,15,2020-01-15,20,24
15,16,2020-01-16,13,14
16,17,2020-01-17,21,10
17,18,2020-01-18,18,14
18,19,2020-01-19,13,10
19,20,2020-01-20,14,13
20,21,2020-01-21,15,15
21,22,2020-01-22,18,11
22,23,2020-01-23,16,15
23,24,2020-01-24,18,16
24,25,2020-01-25,13,10
25,26,2020-01-26,10,12
26,27,2020-01-27,13,12
27,28,2020-01-28,15,23
28,29,2020-01-29,18,10
29,30,2020-01-30,16,16
30,31,2020-01-31,20,14
31,32,2020-02-01,14,12
32,33,2020-02-02,20,7
33,34,2020-02-03,13,13
34,35,2020-02-04,11,17
35,36,2020-02-05,16,25
36,37,2020-02-06,19,21
37,38,2020-02-07,16,4
38,39,2020-02-08,19,14
39,40,2020-02-09,14,17
40,41,2020-02-10,28,20
41,42,2020-02-11,18,23
42,43,2020-02-12,9,15
43,44,2020-02-13,23,13
44,45,2020-02-14,19,5
45,46,2020-02-15,21,8
46,47,2020-02-16,12,13
47,48,2020-02-17,21,18
48,49,2020-02-18,13,9
49,50,2020-02-19,25,12
50,51,2020-02-20,20,14
51,52,2020-02-21,11,8
52,53,2020-02-22,11,9
53,54,2020-02-23,10,15
54,55,2020-02-24,19,13
55,56,2020-02-25,19,14
56,57,2020-02-26,20,17
57,58,2020-02-27,18,19
58,59,2020-02-28,13,11
59,60,2020-02-29,14,7
60,61,2020-03-01,7,11
61,62,2020-03-02,20,19
62,63,2020-03-03,21,15
63,64,2020-03-04,22,10
64,65,2020-03-05,21,16
65,66,2020-03-06,13,16
66,67,2020-03-07,13,9
67,68,2020-03-08,12,11
68,69,2020-03-09,18,6
69,70,2020-03-10,10,13
70,71,2020-03-11,19,17
71,72,2020-03-12,19,15
72,73,2020-03-13,13,12
73,74,2020-03-14,16,15
74,75,2020-03-15,12,17
75,76,2020-03-16,20,11
76,77,2020-03-17,18,14
77,78,2020-03-18,44,32
78,79,2020-03-19,26,26
79,80,2020-03-20,31,24
80,81,2020-03-21,28,20
81,82,2020-03-22,26,26
82,83,2020-03-23,30,35
83,84,2020-03-24,26,32
84,85,2020-03-25,25,24
85,86,2020-03-26,58,36
86,87,2020-03-27,25,22
87,88,2020-03-28,28,17
88,89,2020-03-29,20,9
89,90,2020-03-30,30,23
90,91,2020-03-31,37,26
91,92,2020-04-01,29,26
92,93,2020-04-02,28,28
93,94,2020-04-03,28,16
94,95,2020-04-04,12,18
95,96,2020-04-05,19,22
96,97,2020-04-06,14,17
97,98,2020-04-07,29,27
98,99,2020-04-08,20,22
99,100,2020-04-09,23,22
100,101,2020-04-10,31,24
101,102,2020-04-11,17,20
102,103,2020-04-12,15,18
103,104,2020-04-13,16,12
104,105,2020-04-14,35,28
105,106,2020-04-15,47,30
106,107,2020-04-16,33,32
107,108,2020-04-17,28,28
108,109,2020-04-18,24,23
109,110,2020-04-19,28,20
110,111,2020-04-20,30,21
111,112,2020-04-21,30,31
112,113,2020-04-22,22,22
113,114,2020-04-23,26,28
114,115,2020-04-24,34,30
115,116,2020-04-25,28,17
116,117,2020-04-26,18,22
117,118,2020-04-27,31,14
118,119,2020-04-28,33,39
119,120,2020-04-29,21,17
120,121,2020-04-30,29,29
121,122,2020-05-01,26,23
122,123,2020-05-02,21,24
123,124,2020-05-03,36,29
124,125,2020-05-04,50,47
125,126,2020-05-05,49,37
126,127,2020-05-06,26,31
127,128,2020-05-07,42,37
128,129,2020-05-08,28,25
129,130,2020-05-09,29,19
130,131,2020-05-10,28,15
131,132,2020-05-11,29,22
132,133,2020-05-12,32,28
133,134,2020-05-13,31,35
134,135,2020-05-14,29,21
135,136,2020-05-15,29,18
136,137,2020-05-16,19,17
137,138,2020-05-17,20,15
138,139,2020-05-18,25,18
139,140,2020-05-19,19,26
140,141,2020-05-20,25,22
141,142,2020-05-21,35,35
142,143,2020-05-22,37,19
143,144,2020-05-23,23,19
144,145,2020-05-24,31,18
145,146,2020-05-25,23,16
146,147,2020-05-26,20,18
147,148,2020-05-27,31,15
148,149,2020-05-28,27,21
149,150,2020-05-29,23,18
150,151,2020-05-30,20,12
151,152,2020-05-31,19,13
152,153,2020-06-01,22,9
153,154,2020-06-02,6,4
154,155,2020-06-03,9,11
155,156,2020-06-04,14,13
156,157,2020-06-05,14,10
157,158,2020-06-06,12,6
158,159,2020-06-07,10,8
159,160,2020-06-08,12,13
160,161,2020-06-09,25,18
161,162,2020-06-10,23,19
162,163,2020-06-11,20,17
163,164,2020-06-12,22,11
164,165,2020-06-13,20,18
