,Sno,tweet_ID,tweet,username,lemmatize,polarity
15803,1,1.2278142707857285e+18,Today @Apple support helped cure my MacBook of 17 viruses over the phone. Best customer service! #ThankYou,Valeri3Michaels,today apple support helped cure macbook 17 virus phone best customer service thankyou,1.0
12697,2,1.2546355890028585e+18,Idk I just don’t think that Wish is the best site to order a MacBook,Molsonblom,idk dont think wish best site order macbook,1.0
2729,3,1.3366768414830223e+18,I just want a MacBook Pro. My air has been wyling but I feel like it just needs a factory reset or something because it’s in otherwise perfect condition,yusukeuramesssy,want macbook pro air wyling feel like need factory reset something otherwise perfect condition,1.0
11698,4,1.2604654115120538e+18,whats the best macbook to produce on ?? i need answers from fellow producers,x3seaa,whats best macbook produce need answer fellow producer,1.0
7655,5,1.2947600013455524e+18,"I bought a MacBook a couple weeks ago and it came with a pair of AirPods, but I don’t need them. I’m thinking about doing a raffle so I can donate the money and am wondering what the best route would be?",JoshPeltier,bought macbook couple week ago came pair airpods dont need im thinking raffle donate money wondering best route would,1.0
14795,6,1.2393605179338056e+18,selling a 15” MacBook Pro .. excellent condition with the charge.. dm me,gina_pacifico,selling 15 macbook pro excellent condition charge dm,1.0
8169,7,1.2908343351558472e+18,@charlespa10 @JSBinNC Yes! Let’s do this! I’ve been doing all the production on my MacBook so it’s probably not the best quality.,BClark530,charlespa10 jsbinnc yes let ive production macbook probably best quality,1.0
16688,8,1.2171268870902825e+18,"TWITTER: 

What’s the best type of laptop? Don’t say Macbook.",MackBeMackinn,twitter whats best type laptop dont say macbook,1.0
14567,9,1.2411307661485343e+18,the maxed out 16” macbook pro is hands down the best computer i’ve ever had.,_danesh,maxed 16 macbook pro hand best computer ive ever,1.0
6035,10,1.3092442716779807e+18,@NoteToScene Marvelous MacBook Man https://t.co/IOTPKxPR2K,CamGLansford,notetoscene marvelous macbook man httpstcoiotpkxpr2k,1.0
